Model,HL_1,HL_2,HL_3,Act_F,epochs,Train Error,Test Error,Optimizer,Dropout
Neural Networks,8,4,0,sigmoid,1500,44.7811381076991,42.11586879854366,adam,0.05
Neural Networks,8,4,0,sigmoid,2000,42.51053195669906,40.85931682509541,adam,0.05
Neural Networks,8,4,0,sigmoid,2500,41.0513156604543,40.19663844636863,adam,0.05
Neural Networks,8,4,0,sigmoid,3000,40.05413698930233,38.931536685060806,adam,0.05
Neural Networks,8,4,2,sigmoid,1000,45.55537450069362,41.42475013086601,adam,0.0
Neural Networks,8,4,2,sigmoid,1500,40.53577655998404,38.805774531136024,adam,0.0
Neural Networks,8,4,2,sigmoid,2000,37.49112591031151,35.91758014861602,adam,0.0
Neural Networks,8,4,2,sigmoid,2500,35.327834060579214,34.23665002121277,adam,0.0
Neural Networks,8,4,2,sigmoid,3000,33.35720406033455,32.57716454784787,adam,0.0
Neural Networks,8,4,2,sigmoid,1000,85.00626550002411,77.0420539833591,adam,0.05
Neural Networks,8,4,2,sigmoid,1500,80.76986939187033,73.70104211008508,adam,0.05
Neural Networks,8,4,2,sigmoid,2000,74.48360230488156,66.27950689779598,adam,0.05
Neural Networks,8,4,2,sigmoid,2500,65.63235698915484,56.019747973534564,adam,0.05
Neural Networks,8,4,2,sigmoid,3000,50.33004895991036,44.82629943486795,adam,0.05
